date,timestamp,unix_timestamp,asset,open,high,low,close,volume,mid_price,price_range,price_range_pct,return_1d,return_1d_bps,log_return_1d,return_overnight,return_intraday,volatility_7d,volatility_14d,volatility_30d,sma_7,sma_14,sma_30,price_vs_sma_7,price_vs_sma_14,price_vs_sma_30,price_percentile_30d,price_percentile_60d,price_percentile_90d,implied_move_1d,support_level,resistance_level,distance_to_support,distance_to_resistance,gap_size,gap_size_pct,is_gap_up,is_gap_down,volume_ratio,dollar_volume,vwap_approx,upper_wick,lower_wick,body_size,body_size_pct,is_local_high,is_local_low
2021-01-01,2021-01-01T00:00:00Z,1609459200,ETH,736.15,739.32,728.35,729.15,73410.0,733.835,10.970000000000027,1.5044915312350033,,,,,-0.009508931603613394,,,,,,,,,,,,,,,,,,,,False,False,,53526901.5,732.2733333333334,3.1700000000000728,0.7999999999999545,7.0,0.9600219433587054,False,False
2021-01-02,2021-01-02T00:00:00Z,1609545600,ETH,729.15,779.01,729.15,774.55,98630.0,754.0799999999999,49.860000000000014,6.437286166160999,0.06226428032640752,622.6428032640752,0.06040274339279783,0.0,0.062264280326407434,,,,,,,,,,,,,,,,,,0.0,0.0,False,False,,76393866.5,760.9033333333333,4.460000000000036,0.0,45.39999999999998,5.861467949131751,False,False
2021-01-03,2021-01-03T00:00:00Z,1609632000,ETH,774.56,977.8,774.56,977.8,121090.0,876.18,203.24,20.78543669462058,0.26241043186366286,2624.1043186366287,0.23302293459217327,1.2910722354904017e-05,0.26239413344350343,,,,,,,,,,,,,,,,,,0.009999999999990905,0.0012910722354904016,False,False,,118401802.0,910.0533333333333,0.0,0.0,203.24,20.78543669462058,False,False
2021-01-04,2021-01-04T00:00:00Z,1609718400,ETH,977.56,1043.28,937.88,1043.28,133860.0,990.5799999999999,105.39999999999998,10.102752856376043,0.06696665984863981,669.6665984863981,0.06481972520410115,-0.0002454489670689396,0.06722861000859286,,,,,,,,,,,,,,,,,,-0.2400000000000091,-0.024544896706893957,False,False,,139653460.79999998,1008.1466666666665,0.0,39.67999999999995,65.72000000000003,6.299363545740361,False,False
2021-01-05,2021-01-05T00:00:00Z,1609804800,ETH,1042.01,1099.82,1008.63,1099.82,126330.0,1054.225,91.18999999999994,8.291356767471036,0.05419446361475333,541.9446361475333,0.05277693368428861,-0.0012173146231117071,0.05547931401809958,,,,,,,,,,,,,,,,,,-1.2699999999999818,-0.12173146231117071,False,False,,138940260.6,1069.4233333333332,0.0,33.379999999999995,57.809999999999945,5.256314669673215,False,False
2021-01-06,2021-01-06T00:00:00Z,1609891200,ETH,1099.95,1202.23,1099.95,1202.23,105940.0,1151.0900000000001,102.27999999999997,8.507523518794239,0.09311523703878821,931.1523703878821,0.0890316355113152,0.0001182011601899485,0.09298604482021908,,,,,,,,,,,,,,,,,,0.13000000000010914,0.01182011601899485,False,False,,127364246.2,1168.1366666666668,0.0,0.0,102.27999999999997,8.507523518794239,False,False
2021-01-10,2021-01-10T00:00:00Z,1610236800,ETH,1333.96,1339.14,1256.08,1256.08,68070.0,1297.6100000000001,83.06000000000017,6.612636137825631,0.044791761975661926,447.9176197566193,0.043817594723015996,0.10957137985244089,-0.05838256019670763,,,,1011.8442857142857,,,24.13767787533655,,,,,,,,,,,131.73000000000002,10.957137985244088,True,False,,85501365.6,1283.7666666666667,5.180000000000064,0.0,77.88000000000011,6.200242022801104,True,False
2021-01-11,2021-01-11T00:00:00Z,1610323200,ETH,1255.39,1255.39,984.99,1088.71,87800.0,1120.19,270.4000000000001,24.836733381708633,-0.13324788230049034,-1332.4788230049035,-0.14300225115548407,-0.0005493280682757685,-0.1327714893379747,220.04908871909933,,,1063.21,,,2.398397306270633,,,,,,,,,,,-0.6899999999998272,-0.05493280682757685,False,False,,95588738.0,1109.6966666666667,0.0,103.72000000000003,166.68000000000006,15.309862130411226,False,True
2021-01-12,2021-01-12T00:00:00Z,1610409600,ETH,1086.75,1117.6,1050.01,1050.01,100610.0,1083.8049999999998,67.58999999999992,6.437081551604262,-0.03554665613432417,-355.4665613432417,-0.03619382119604043,-0.0018002957628753629,-0.03380722337244077,231.6442737020468,,,1102.5614285714287,,,-4.7663039182786155,,,,,,,,,,,-1.9600000000000364,-0.1800295762875363,False,False,,105641506.1,1072.54,30.84999999999991,0.0,36.74000000000001,3.499014295101952,False,False
2021-01-13,2021-01-13T00:00:00Z,1610496000,ETH,1050.54,1066.96,1010.59,1010.59,49790.0,1038.775,56.370000000000005,5.577929724220505,-0.03754249959524192,-375.4249959524192,-0.038265369218705145,0.0005047570975514259,-0.0380280617587145,152.29971475070795,,,1107.2457142857143,,,-8.729382560587915,,,,,,,,,,,0.5299999999999727,0.050475709755142595,False,False,,50317276.1,1029.38,16.420000000000073,0.0,39.94999999999993,3.95313628672359,False,False
