date,open,high,low,close,volume,dividends,stock_splits,asset,timestamp,unix_timestamp,mid_price,price_range,price_range_pct,return_1d,return_1d_bps,log_return_1d,return_overnight,return_intraday,volatility_7d,volatility_14d,volatility_30d,sma_7,price_vs_sma_7,sma_14,price_vs_sma_14,sma_30,price_vs_sma_30,price_percentile_30d,price_percentile_60d,price_percentile_90d,support_level,resistance_level,distance_to_support,distance_to_resistance,implied_move_1d,gap_size,gap_size_pct,is_gap_up,is_gap_down,volume_ratio,dollar_volume,vwap_approx,upper_wick,lower_wick,body_size,body_size_pct,is_local_high,is_local_low
2021-01-01 00:00:00+00:00,737.7083740234375,749.2018432617188,719.792236328125,730.3675537109375,13652004358,0.0,0.0,ETH,2021-01-01T00:00:00Z,1609459200,734.4970397949219,29.40960693359375,4.026685849359813,,,,,-0.009950843139360566,,,,,,,,,,,,,,,,,,,,False,False,,9970981026203.518,,11.49346923828125,10.5753173828125,7.3408203125,1.005085764722419,False,False
2021-01-02 00:00:00+00:00,730.4026489257812,786.7984619140625,718.1094970703125,774.5349731445312,19740771179,0.0,0.0,ETH,2021-01-02T00:00:00Z,1609545600,752.4539794921875,68.68896484375,8.868413593369446,0.06047286631119175,604.7286631119175,0.05871490894439917,4.805144295549901e-05,0.060421911508202086,,,,,,,,,,,,,,,,,,0.03509521484375,0.004805144295558325,True,False,,15289917674979.102,,12.26348876953125,12.29315185546875,44.13232421875,5.697912392461423,False,True
2021-01-03 00:00:00+00:00,774.5118408203125,1006.5650024414062,771.5616455078125,975.5076904296875,45200463368,0.0,0.0,ETH,2021-01-03T00:00:00Z,1609632000,889.0633239746094,235.00335693359375,24.090364354798727,0.2594753293956862,2594.753293956862,0.23069522900113032,-2.986608096577914e-05,0.25951294611131215,,,,,,,,,,,,,,,,,,-0.02313232421875,-0.0029866080965763463,False,True,,44093399626469.375,,31.05731201171875,2.9501953125,200.995849609375,20.60423014408438,False,False
2021-01-04 00:00:00+00:00,977.058837890625,1153.189208984375,912.3053588867188,1040.2330322265625,56945985763,0.0,0.0,ETH,2021-01-04T00:00:00Z,1609718400,1032.7472839355469,240.88385009765625,23.156719949765236,0.06635041674388553,663.5041674388553,0.0642419928748038,0.001590092498660045,0.06465751281910959,,,,,,,,,,,,,,,,,,1.5511474609375,0.15900924986601153,True,False,,59237095443376.15,,112.9561767578125,64.75347900390625,63.1741943359375,6.073080971166293,True,False
2021-01-05 00:00:00+00:00,1041.498779296875,1129.3714599609375,986.811279296875,1100.006103515625,41535932781,0.0,0.0,ETH,2021-01-05T00:00:00Z,1609804800,1058.0913696289062,142.5601806640625,12.95994451380219,0.057461231702209625,574.6123170220962,0.05587097093740991,0.0012167918448073856,0.056176085254990626,,,,,,,,,,,,,,,,,,1.2657470703125,0.12167918448073477,True,False,,45689779574314.73,,29.3653564453125,54.6875,58.50732421875,5.318818143986683,False,False
2021-01-06 00:00:00+00:00,1101.0050048828125,1209.4285888671875,1064.2333984375,1207.1121826171875,44699914188,0.0,0.0,ETH,2021-01-06T00:00:00Z,1609891200,1136.8309936523438,145.1951904296875,12.028309590487613,0.09736862255513934,973.6862255513934,0.0929151527017415,0.000908087113330458,0.09637302034396167,,,,,,,,,,,,,,,,,,0.9989013671875,0.0908087113330559,True,False,,53957810978277.664,,2.31640625,36.7716064453125,106.107177734375,8.790167083254834,False,False
2021-01-07 00:00:00+00:00,1208.078369140625,1282.57958984375,1167.443115234375,1225.6781005859375,40468027280,0.0,0.0,ETH,2021-01-07T00:00:00Z,1609977600,1225.0113525390625,115.136474609375,9.393695991984668,0.015380441218393326,153.80441218393327,0.015263361201059275,0.0008004115419850688,0.014568368985724112,,,,1007.6342337472098,21.639188064091663,,,,,,,,,,,,,0.9661865234375,0.08004115419849983,True,False,,49600774811010.305,,56.9014892578125,40.63525390625,17.5997314453125,1.4359179165311773,True,False
2021-01-08 00:00:00+00:00,1225.9678955078125,1273.8275146484375,1076.08154296875,1224.1971435546875,44334826666,0.0,0.0,ETH,2021-01-08T00:00:00Z,1610064000,1174.9545288085938,197.7459716796875,16.153114939109788,-0.0012082756724967059,-12.082756724967059,-0.0012090062260797856,0.0002364364034377342,-0.0014443705741506996,164.2657318581097,,,1078.1813180106026,13.542789427431812,,,,,,,,,,,,,0.289794921875,0.02364364034377893,True,False,,54274568164509.39,,47.859619140625,148.1156005859375,1.770751953125,0.14464597981198418,False,True
2021-01-09 00:00:00+00:00,1223.740478515625,1303.871826171875,1182.2703857421875,1281.0772705078125,33233105361,0.0,0.0,ETH,2021-01-09T00:00:00Z,1610150400,1243.0711059570312,121.6014404296875,9.492123795271562,0.04646320835871487,464.6320835871487,0.045416105438041254,-0.0003730322697342858,0.04685371857743559,165.5505068907933,,,1150.5445033482142,11.34530361752486,,,,,,,,,,,,,-0.4566650390625,-0.03730322697343394,False,True,,42574175906368.43,,22.7945556640625,41.4700927734375,57.3367919921875,4.475670071756054,False,False
2021-01-10 00:00:00+00:00,1280.87109375,1347.9261474609375,1194.715576171875,1262.2467041015625,40616938053,0.0,0.0,ETH,2021-01-10T00:00:00Z,1610236800,1271.3208618164062,153.2105712890625,12.137926032305561,-0.014699009060386903,-146.99009060386902,-0.014808109930461662,-0.00016094014198753115,-0.014540409053897085,76.43854030093526,,,1191.5072195870537,5.936974896301961,,,,,,,,,,,,,-0.2061767578125,-0.01609401419875107,False,True,,51268596188096.586,,67.0550537109375,67.5311279296875,18.6243896484375,1.4754952092898435,True,False
2021-01-11 00:00:00+00:00,1261.6229248046875,1261.6229248046875,924.922607421875,1090.1453857421875,60733630300,0.0,0.0,ETH,2021-01-11T00:00:00Z,1610323200,1093.2727661132812,336.7003173828125,30.88581778049556,-0.13634523092842832,-1363.4523092842833,-0.14658216286240672,-0.0004941817592774012,-0.1359182174729795,142.52639937679896,,,1198.6375558035713,-9.051290737227923,,,,,,,,,,,,,-0.623779296875,-0.049418175927739214,False,True,,66208486830916.91,,0.0,165.2227783203125,171.4775390625,15.729786256514355,False,True
2021-01-12 00:00:00+00:00,1088.5267333984375,1149.240234375,1012.76416015625,1043.4345703125,37494601692,0.0,0.0,ETH,2021-01-12T00:00:00Z,1610409600,1081.002197265625,136.47607421875,13.07950475302697,-0.0428482439504031,-428.482439504031,-0.04379332533636267,-0.0014848041049571048,-0.04142494777795436,140.25261158568915,,,1190.555908203125,-12.357364897938428,,,,,,,,,,,,,-1.61865234375,-0.1484804104957062,False,True,,39123163605530.36,,60.7135009765625,30.67041015625,45.0921630859375,4.32151323800138,False,False
2021-01-13 00:00:00+00:00,1043.740966796875,1134.3385009765625,994.549072265625,1130.7393798828125,30109792795,0.0,0.0,ETH,2021-01-13T00:00:00Z,1610496000,1064.4437866210938,139.7894287109375,12.362656788819452,0.08367061246989871,836.7061246989871,0.0803539938065793,0.0002936422590285037,0.08335249439612014,134.389180084098,,,1179.6455078125,-4.145832591723053,,,,,,,,,,,,,0.306396484375,0.029364225902850507,True,False,,34046328433418.277,,3.59912109375,49.19189453125,86.9984130859375,7.693940322035467,False,True
2021-01-14 00:00:00+00:00,1130.231201171875,1244.1630859375,1093.060791015625,1218.4530029296875,33410915929,0.0,0.0,ETH,2021-01-14T00:00:00Z,1610582400,1168.6119384765625,151.102294921875,12.401159056488826,0.07757191852287426,775.7191852287426,0.07471028649725438,-0.000449421608532119,0.07805642037340688,147.57034761238316,,,1178.6133510044642,3.3802138666824133,1093.123792375837,11.465234900930588,,,,,,718.1094970703125,1347.9261474609375,41.06383296330126,10.626026955487049,,-0.5081787109375,-0.04494216085320798,False,True,,40709630844321.38,,25.7100830078125,37.17041015625,88.2218017578125,7.240476370092992,False,False
2021-01-15 00:00:00+00:00,1221.877197265625,1250.505859375,1090.7210693359375,1171.8345947265625,35972039310,0.0,0.0,ETH,2021-01-15T00:00:00Z,1610668800,1170.6134643554688,159.7847900390625,13.635438888570011,-0.03826032525754719,-382.6032525754719,-0.03901147331331257,0.0028102801894731577,-0.04095550899145206,150.42771722506657,172.15788211154316,,1171.1329868861608,0.059908468829594774,1124.6571524483818,4.194828812983165,,,,,,718.1094970703125,1347.9261474609375,38.719210006095004,15.026997285010557,,3.4241943359375,0.2810280189473256,True,False,,42153280106321.83,,28.628662109375,81.113525390625,50.0426025390625,4.2704493248673465,False,True
2021-01-16 00:00:00+00:00,1171.443115234375,1290.0535888671875,1157.623779296875,1233.53759765625,32319240157,0.0,0.0,ETH,2021-01-16T00:00:00Z,1610755200,1223.8386840820312,132.4298095703125,10.735774071413163,0.052655044668727724,526.5504466872773,0.05131558657436923,-0.0003340740185937552,0.053006826890993786,151.73933236661622,171.91641938179208,,1164.3416050502233,5.942928802500536,1157.4430541992188,6.574366071916815,,,,,,771.5616455078125,1347.9261474609375,37.45130695863689,9.273211454764605,,-0.3914794921875,-0.03340740185937661,False,True,,39866997861341.19,,56.5159912109375,13.8193359375,62.094482421875,5.03385405842967,True,False
2021-01-17 00:00:00+00:00,1233.453369140625,1265.6446533203125,1174.3885498046875,1230.1722412109375,29258032819,0.0,0.0,ETH,2021-01-17T00:00:00Z,1610841600,1220.0166015625,91.256103515625,7.418156617303912,-0.0027282155417935883,-27.282155417935883,-0.0027319439045435886,-6.828208218789822e-05,-0.002660115097803395,151.40490404694583,121.55583793364939,,1159.7595389229912,6.071319090277538,1175.6333792550224,4.639104581266262,,,,,,912.3053588867188,1347.9261474609375,25.839217605115362,9.572147891590147,,-0.084228515625,-0.006828208218787667,False,True,,35992419806372.39,,32.1912841796875,55.78369140625,3.2811279296875,0.2667210183882604,False,False
2021-01-18 00:00:00+00:00,1230.313232421875,1259.4500732421875,1187.31103515625,1257.279541015625,25817455560,0.0,0.0,ETH,2021-01-18T00:00:00Z,1610928000,1223.3805541992188,72.1390380859375,5.737708737999816,0.02203536943575002,220.3536943575002,0.02179609924113147,0.00011461095138898258,0.021918246413286768,99.51351206247101,118.74483813703651,,1183.6358468191963,6.221820198698147,1191.1367013113838,5.552917614864961,,,,,,924.922607421875,1347.9261474609375,26.4346092298037,7.209741627712209,,0.1409912109375,0.011461095138898054,True,False,,32459758676668.094,,2.1705322265625,43.002197265625,26.96630859375,2.1448140778594658,False,False
2021-01-19 00:00:00+00:00,1257.4345703125,1432.300048828125,1254.52294921875,1377.2958984375,47195935190,0.0,0.0,ETH,2021-01-19T00:00:00Z,1611014400,1343.4114990234375,177.777099609375,12.907691064139353,0.09545717838129009,954.5717838129009,0.09117179063699767,0.0001233053524036798,0.09532211930137402,94.92458328045215,123.98691945704137,,1231.330322265625,11.854298845114197,1210.943115234375,13.737456459375297,,,,,,924.922607421875,1432.300048828125,32.845032903156735,3.993633499745808,,0.155029296875,0.012330535240378445,True,False,,65002767960109.07,,55.004150390625,2.91162109375,119.861328125,8.702656289108173,True,False
2021-01-20 00:00:00+00:00,1375.2484130859375,1405.744140625,1243.2999267578125,1382.2740478515625,46784030909,0.0,0.0,ETH,2021-01-20T00:00:00Z,1611100800,1324.5220336914062,162.4442138671875,11.75195426114459,0.00361443711529974,36.1443711529974,0.003607920734780844,-0.001486598017089391,0.005108629611038751,90.79454670292684,116.16952591919096,,1267.2638462611608,9.075474056150124,1223.4546770368304,12.981222254950042,,,,,,924.922607421875,1432.300048828125,33.08688614537317,3.6191087472355274,,-2.0474853515625,-0.14865980170893628,False,True,1.2319308634996493,64668351779396.05,1166.76853011443,23.4700927734375,131.948486328125,7.025634765625,0.5082664162395862,False,False
2021-01-21 00:00:00+00:00,1382.6844482421875,1382.6844482421875,1098.4761962890625,1121.5709228515625,45932464754,0.0,0.0,ETH,2021-01-21T00:00:00Z,1611187200,1240.580322265625,284.208251953125,25.34019437937402,-0.18860451399286926,-1886.0451399286926,-0.20899969144053393,0.0002969023337036081,-0.18884534770213102,172.6172584490583,154.5871435498139,,1253.423549107143,-10.519399156773746,1216.0184500558037,-7.766948536011675,,,,,,924.922607421875,1432.300048828125,17.533292939666687,27.704812923158034,,0.410400390625,0.02969023337035634,True,False,1.1601976933139884,51516516882990.65,1171.6708923391964,0.0,23.0947265625,261.113525390625,23.28105339310609,False,False
